CHARTER,REG,ASSET,DEP,TYPE
NM,WESTERN,136446,119685,FAILURE
SM,SOUTHERN,578638,537223,FAILURE
SB,SOUTHERN,68201,76360,FAILURE
NM,SOUTHERN,191764,155803,FAILURE
N,SOUTHERN,242339,193803,FAILURE
NM,SOUTHERN,244376,240476,FAILURE
N,MIDWESTERN,31569,28844,FAILURE
N,SOUTHERN,448150,374218,FAILURE
NM,NORTHEASTERN,112643,104505,FAILURE
SM,MIDWESTERN,252744,213550,FAILURE
NM,NORTHEASTERN,106595,91996,FAILURE
NM,SOUTHERN,112144,112193,FAILURE
SM,MIDWESTERN,750724,664752,FAILURE
NM,SOUTHERN,143729,141573,FAILURE
NM,WESTERN,203955,190182,FAILURE
NM,SOUTHERN,654714,587626,FAILURE
NM,WESTERN,98635,101127,FAILURE
NM,WESTERN,48000,47012,FAILURE
SM,WESTERN,221082,193473,FAILURE
NM,SOUTHERN,538258,500056,FAILURE
NM,SOUTHERN,29259,26867,FAILURE
SB,WESTERN,255920,190615,FAILURE
SM,SOUTHERN,94823,86861,FAILURE
NM,SOUTHERN,73922,72198,FAILURE
NM,MIDWESTERN,1583611,1488785,FAILURE
N,MIDWESTERN,143451,135475,FAILURE
N,SOUTHERN,126622,122880,FAILURE
NM,MIDWESTERN,87782,70131,FAILURE
NM,MIDWESTERN,989382,869367,FAILURE
SB,MIDWESTERN,453349,347080,FAILURE
NM,WESTERN,92980,90644,FAILURE
NM,SOUTHERN,402205,367228,FAILURE
NM,SOUTHERN,148575,133561,FAILURE
NM,WESTERN,288776,276081,FAILURE
NM,SOUTHERN,168820,160718,FAILURE
NM,SOUTHERN,248151,242831,FAILURE
NM,NORTHEASTERN,81564,79652,FAILURE
SL,MIDWESTERN,350488,248134,FAILURE
SI,MIDWESTERN,47523,41551,FAILURE
NM,SOUTHERN,447185,398181,FAILURE
SM,SOUTHERN,187819,164594,FAILURE
NM,WESTERN,498751,471256,FAILURE
SB,WESTERN,866459,770899,FAILURE
SL,SOUTHERN,9448,10090,FAILURE
N,SOUTHERN,156218,141877,FAILURE
NM,WESTERN,337113,255501,FAILURE
SM,WESTERN,312077,278832,FAILURE
N,SOUTHERN,67918,63708,FAILURE
NM,MIDWESTERN,2166431,1547403,FAILURE
NM,MIDWESTERN,493391,467784,FAILURE
NM,MIDWESTERN,264628,269448,FAILURE
SB,SOUTHERN,64344,52720,FAILURE
NM,SOUTHERN,160763,155531,FAILURE
NM,WESTERN,714574,692670,FAILURE
NM,WESTERN,489019,474742,FAILURE
NM,SOUTHERN,377469,370016,FAILURE
NM,WESTERN,203690,183985,FAILURE
NM,MIDWESTERN,100649,95100,FAILURE
SM,SOUTHERN,354966,329541,FAILURE
NM,SOUTHERN,970235,932809,FAILURE
SM,WESTERN,250488,227935,FAILURE
N,SOUTHERN,130411,126993,FAILURE
SM,MIDWESTERN,28248,27048,FAILURE
N,SOUTHERN,619374,550891,FAILURE
SB,SOUTHERN,382803,364808,FAILURE
SB,SOUTHERN,240251,179169,FAILURE
SB,SOUTHERN,161355,157997,FAILURE
SB,MIDWESTERN,96584,63291,FAILURE
SM,SOUTHERN,399441,375522,FAILURE
NM,NORTHEASTERN,190678,188644,FAILURE
N,SOUTHERN,217743,212612,FAILURE
SB,SOUTHERN,6177,5803,FAILURE
N,SOUTHERN,585445,514038,FAILURE
NM,WESTERN,80343,80985,FAILURE
N,SOUTHERN,252520,231857,FAILURE
NM,SOUTHERN,630179,580140,FAILURE
NM,WESTERN,492491,479759,FAILURE
NM,WESTERN,520887,441362,FAILURE
SI,MIDWESTERN,17028,18092,FAILURE
SB,MIDWESTERN,2824737,2185817,FAILURE
N,SOUTHERN,60449,63483,FAILURE
NM,SOUTHERN,240513,224024,FAILURE
NM,SOUTHERN,595318,531752,FAILURE
N,WESTERN,102913,94252,FAILURE
NM,SOUTHERN,640894,559897,FAILURE
NM,WESTERN,360662,353943,FAILURE
NM,MIDWESTERN,61215,58288,FAILURE
